epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.3397,0.95256,0.80952,1,0.40066,0.000233423,0.000233423,0.000233423
2,29.0177,0.45889,0.92381,1,0.20537,0.000238069,0.000238069,0.000238069
