peanut_index,gt_length_mm,gt_width_mm,ellipse_length_mm,ellipse_width_mm,ellipse_length_error_mm,ellipse_width_error_mm,ellipse_length_error_pct,ellipse_width_error_pct,bbox_length_mm,bbox_width_mm,bbox_length_error_mm,bbox_width_error_mm,bbox_length_error_pct,bbox_width_error_pct
0,11.85,8.93,11.598247062283184,9.559607860383197,0.25175293771681595,0.6296078603831976,2.1244973646988687,7.050479959498293,11.587265978699557,9.518880439569163,0.2627340213004423,0.5888804395691629,2.2171647367125935,6.594405818243707
1,10.74,6.54,13.872306275485963,8.022432040649196,3.1323062754859627,1.4824320406491962,29.16486290024174,22.667156584850094,13.560707085917604,7.927797988690292,2.820707085917604,1.3877979886902923,26.26356690798514,21.220152732267465
2,14.0,7.84,15.305497648202065,6.854765943027841,1.3054976482020653,0.9852340569721587,9.324983201443324,12.566760930767332,15.64210391186556,6.985899881665672,1.6421039118655596,0.854100118334328,11.729313656182569,10.894134162427653
3,14.38,7.53,11.911359951009103,5.925573517943545,2.4686400489908973,1.6044264820564553,17.167176974901928,21.307124595703257,12.26150275987291,5.966102375171979,2.118497240127091,1.5638976248280212,14.732247845111898,20.76889276000028
4,15.03,7.24,8.820829557506347,4.736254041416314,6.209170442493653,2.5037459585836865,41.3118459247748,34.582126499774674,8.746222175158861,4.876211922961337,6.283777824841138,2.363788077038663,41.80823569421916,32.649006588931805
5,15.0,7.31,16.971945126853235,9.932859650549927,1.9719451268532353,2.6228596505499278,13.146300845688236,35.880432976059204,17.24461152841529,10.060413077878673,2.244611528415291,2.7504130778786733,14.96407685610194,37.625349902581036
6,11.17,7.57,13.55426232473046,7.264073537786262,2.384262324730461,0.30592646221373787,21.345231197228834,4.041300689745547,13.66502021734774,7.51054546296975,2.49502021734774,0.059454537030250165,22.336796932388005,0.7853967903599758
7,13.12,5.87,13.721311999057917,6.5541888231138845,0.6013119990579181,0.6841888231138844,4.583170724526815,11.655686935500587,13.689785354248396,6.583484313565767,0.5697853542483973,0.7134843135657665,4.34287617567376,12.154758323096534
8,12.24,7.07,14.701178328695063,7.52488103758867,2.4611783286950626,0.4548810375886694,20.107666084109987,6.433960927703951,14.504002698578756,7.517240119811717,2.2640026985787554,0.44724011981171685,18.496754073355845,6.325885711622586
9,16.73,10.02,13.418317496814256,7.183670804615763,3.311682503185745,2.836329195384237,19.794874496029557,28.30667859664907,13.25573570212432,7.20135609519377,3.4742642978756813,2.8186439048062297,20.766672432012438,28.130178690680935
10,13.64,6.78,11.455355294332083,7.452223478025639,2.1846447056679175,0.6722234780256384,16.01645678642168,9.914800560850123,11.474711861582477,7.426997546271022,2.165288138417523,0.646997546271022,15.874546469336678,9.542736670664041
11,13.43,7.7,13.35083214062925,7.83915984075509,0.07916785937075055,0.1391598407550898,0.5894851777419996,1.8072706591570102,13.458872219038811,7.804246871068898,0.028872219038811764,0.10424687106889774,0.21498301592562746,1.3538554684272432
12,15.45,8.27,13.742995620113104,8.843297882751521,1.7070043798868948,0.5732978827515218,11.048572038102881,6.9322597672493576,13.514473206391067,9.51486221294112,1.9355267936089326,1.2448622129411202,12.527681512031927,15.052747435805566
13,13.57,7.09,13.3651661235561,6.808145282328551,0.2048338764438995,0.28185471767144854,1.5094611381274834,3.975383888172758,13.65822528390543,6.854091065590611,0.08822528390543027,0.2359089344093892,0.6501494760901273,3.327347452882781
14,13.68,6.56,11.329198576793832,7.108636052947768,2.3508014232061676,0.5486360529477681,17.184220929869646,8.363354465667197,11.16150506302449,7.406232331539615,2.518494936975509,0.846232331539615,18.4100507088853,12.899883102738032
15,13.28,8.35,12.656269451735517,8.203193346304547,0.6237305482644828,0.1468066536954531,4.6967661766903825,1.7581635173108154,12.667927800294478,8.309625019878442,0.612072199705521,0.04037498012155716,4.608977407421092,0.4835326960665528
16,16.98,7.73,13.440410182731162,6.851487057365822,3.5395898172688387,0.8785129426341785,20.845640855529084,11.364979852964792,12.621888903046386,6.884666674388938,4.358111096953614,0.8453333256110627,25.666143091599615,10.935748067413488
17,12.96,6.79,12.356244251046466,6.766898174054007,0.6037557489535352,0.02310182594599297,4.658609174024191,0.34023307726057395,12.51757577161625,6.780353542958802,0.44242422838375006,0.00964645704119782,3.413767194319059,0.14206858676285447
18,14.28,8.1,16.427912736149455,7.828472424358184,2.147912736149456,0.27152757564181584,15.041405715332326,3.3521922918742697,16.43784330296758,7.699943289791176,2.1578433029675796,0.4000567102088235,15.110947499772967,4.93897173097313
19,13.13,7.32,13.04863746365023,7.183978797031103,0.08136253634977031,0.1360212029688972,0.6196689744841608,1.8582131553128032,13.087971358057908,7.300939513641046,0.04202864194209255,0.01906048635895452,0.3200962828796081,0.26038915790921474
20,13.13,7.32,13.482862201901893,8.514372329166703,0.35286220190189255,1.1943723291667023,2.687450128727285,16.316561873862053,13.66502021734774,8.449363645840968,0.5350202173477392,1.129363645840968,4.074792211330839,15.428465107117049
21,13.3,8.65,14.60753590089511,7.92108821077367,1.3075359008951093,0.7289117892263306,9.831096999211347,8.426725887009603,14.42210536655552,7.944621378012966,1.1221053665555196,0.7053786219870339,8.436882455304659,8.15466615013912
22,13.7,7.26,15.714969983089622,7.872742951717682,2.014969983089623,0.6127429517176823,14.707810095544694,8.43998556084962,15.779223408528644,7.8442341550708745,2.0792234085286445,0.5842341550708747,15.176813200939012,8.047302411444555
23,10.51,7.87,12.211823662863148,7.5844485215767286,1.7018236628631485,0.28555147842327155,16.192423052931957,3.628354236636233,12.413262640186115,7.51054546296975,1.9032626401861155,0.35945453703025,18.10906413117141,4.567401995301779
