56;15,75;9,50
61;13,73;8,79
59;14,97;7,13
25;13,68;7,50
68;17,03;8,17
34;14,90;8,47
33;13,99;7,71
43;14,19;8,93
14;13,68;6,56
28;11,41;7,03
12;15,45;8,27
87;12,24;7,82
30;13,13;7,22
7;13,12;5,87
36;11,99;7,05
51;13,69;8,87
69;13,64;6,86
26;12,60;6,96
60;15,00;7,67
22;13,70;7,26
17;12,96;6,79
9;16,73;10,02
76;13,99;7,11
15;13,28;8,35
88;12,84;6,61
86;12,53;8,37
84;13,30;6,92
5;15,00;7,31
65;17,07;7,59
73;14,65;7,87
8;12,24;7,07
48;12,43;6,97
35;16,01;7,22
55;17,41;10,60
77;9,70;7,44
40;17,59;8,31
53;15,87;9,87
24;13,13;6,85
4;15,03;7,24
2;14,00;7,84
27;15,89;7,94
78;13,44;7,23
52;11,93;9,05
39;11,11;8,59
31;14,58;7,11
16;16,98;7,73
62;13,65;7,14
46;14,03;7,70
83;15,53;7,41
67;12,19;7,72
79;14,77;7,91
57;16,05;7,02
74;12,85;8,14
45;12,84;8,19
47;12,83;7,39
63;11,41;7,10
44;14,19;8,93
85;13,88;6,47
66;13,46;7,75
82;12,15;7,23
50;11,95;8,33
11;13,43;7,70
37;11,03;7,28
72;12,40;7,22
42;12,38;6,13
80;14,37;7,97
32;10,53;6,31
41;12,80;8,19
81;11,19;7,53
3;14,38;7,53
71;11,98;7,66
38;11,12;8,23
0;11,85;8,93
49;13,21;7,36
29;11,70;7,02
64;14,10;8,30
75;12,60;7,24
6;11,17;7,57
1;10,74;6,54
10;13,64;6,78
21;13,30;8,65
20;13,13;7,32
23;10,51;7,87
70;11,70;8,87
54;13,99;7,89
18;14,28;8,10
89;11,63;9,51
13;13,57;7,09
19;13,13;7,32
58;10,80;7,27
