0;14,36;9,15
1;12,33;7,93
2;11,07;7
3;13,26;7,42
4;12,23;7,79
5;13,36;6,08
6;13,93;7,48
7;15,31;8,28
8;11;7,48
9;11,23;7,63
10;13,79;6,61
11;14,88;7,42
12;12,66;7
13;12,38;6,31
14;13,97;7,73
15;15,64;9,5
16;11,37;7,12
17;17,02;8,14
18;13,56;6,64
19;12,33;7,3
20;11,88;7,31
21;10,5;7,6
22;12,4;6,8
23;9,6;6,61
24;16,8;7,7
25;12,75;8,37
26;11,27;7,33
27;13,18;8,6
28;15,13;7,64
29;17,3;10,58
30;13,67;7,39
31;11,2;8,71
32;16,81;10,03
33;12,8;8,15
34;11,87;8,7
35;15,6;7,57
36;16,99;7,61
37;6,9;6,8
38;14,42;7,55
39;10,13;6,05
40;13,8;6,56
41;12,18;8,9
42;13,95;7,08
43;12,25;7,23
44;12,47;7,42
45;9,31;6,31
46;15,94;7
47;14,91;7,08
48;10,6;6,5
49;16,06;7,45
50;13,7;7,21
51;13,66;8,85
52;12,95;6,44
53;13,61;7,41
54;14;8,29
55;15,6;7,78
56;11;7,15
57;13,85;7,82
58;12,41;7
59;13,51;7,58
60;13;7,18
61;14,9;6,91
62;13,08;6,57
63;14,03;7,7
64;13;7,76
65;13,15;7,19
66;14,86;7,26
67;11,36;9,8
68;11,45;9
69;11,74;8,73
70;11,7;8,78
71;14,3;7,33
72;17,56;7,87
73;11,93;8,42
74;11,6;6,76
75;10,9;7,19
76;12,87;7,07
77;14;7,72
78;14,55;8,22
79;13,48;7,13
80;13,32;6,8
81;14,42;7,58
82;13,55;7,44
83;10,33;6,28
84;12,17;7,63
85;13,64;7,3
86;14,45;7,45
87;13,27;8,28
88;13,1;6,9
89;15,94;10
90;14,28;8,09
91;12,87;7,22
