epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0515,0.81114,1.21685,0.88952,0.89633,0.99593,0.99462,0.99472,0.89041,0.99556,0.99422,0.99469,0.71617,0.51682,0.62237,0.44645,0.81101,0.000657895,0.000657895,0.000657895
2,243.552,0.62453,0.71322,0.38849,0.83246,0.99643,0.99507,0.99477,0.8802,0.99592,0.99437,0.99465,0.65681,0.5646,0.6227,0.37399,0.80839,0.00131145,0.00131145,0.00131145
3,303.145,0.66786,0.70018,0.39129,0.82786,0.99831,0.99468,0.99495,0.85659,0.99785,0.99422,0.99491,0.71314,0.64898,0.86338,0.38234,0.81085,0.0019518,0.0019518,0.0019518
4,362.659,0.65586,0.73642,0.39943,0.82332,0.99697,0.99494,0.99476,0.90266,0.99651,0.99446,0.99459,0.71301,0.49392,0.52281,0.37671,0.79549,0.0019406,0.0019406,0.0019406
5,421.831,0.56984,0.61367,0.36634,0.813,0.99805,0.99514,0.99485,0.91956,0.99767,0.99475,0.99475,0.7183,0.43957,0.49801,0.33502,0.78724,0.0019208,0.0019208,0.0019208
6,481.852,0.5726,0.59293,0.36266,0.81141,0.9982,0.99488,0.99494,0.9117,0.9979,0.99442,0.99489,0.70901,0.45992,0.60453,0.3319,0.79336,0.001901,0.001901,0.001901
7,541.446,0.55746,0.61953,0.34909,0.80805,0.99789,0.99521,0.99495,0.88304,0.9975,0.99481,0.99488,0.71926,0.55607,0.56612,0.35473,0.79911,0.0018812,0.0018812,0.0018812
8,600.445,0.54583,0.56931,0.34149,0.80458,0.99835,0.99514,0.99497,0.91337,0.99802,0.99481,0.99495,0.74288,0.48626,0.45446,0.34638,0.78847,0.0018614,0.0018614,0.0018614
9,659.138,0.51883,0.54059,0.33319,0.80241,0.99821,0.99521,0.99496,0.92498,0.99782,0.99468,0.99495,0.71463,0.44658,0.46816,0.31205,0.78594,0.0018416,0.0018416,0.0018416
10,718.774,0.49263,0.53374,0.31647,0.80003,0.99835,0.9952,0.99499,0.90286,0.99783,0.99458,0.99499,0.68903,0.51004,0.51279,0.31612,0.79084,0.0018218,0.0018218,0.0018218
11,777.039,0.55756,0.56691,0.33144,0.80254,0.99842,0.99472,0.99497,0.93999,0.99817,0.99442,0.99497,0.73228,0.40157,0.45236,0.29579,0.78414,0.001802,0.001802,0.001802
12,835.843,0.52972,0.56361,0.3161,0.79966,0.99763,0.99574,0.99498,0.9234,0.99776,0.99484,0.99497,0.70689,0.43403,0.45537,0.29541,0.78319,0.0017822,0.0017822,0.0017822
13,894.143,0.50924,0.54262,0.31088,0.7975,0.99809,0.99527,0.99498,0.93566,0.99763,0.99481,0.99496,0.73485,0.39491,0.45563,0.2799,0.77955,0.0017624,0.0017624,0.0017624
14,953.574,0.49462,0.5203,0.30379,0.79599,0.9977,0.99553,0.99496,0.91869,0.9976,0.99488,0.99494,0.72802,0.44882,0.4938,0.28986,0.78478,0.0017426,0.0017426,0.0017426
15,1013.04,0.47953,0.51195,0.30008,0.79528,0.9977,0.99547,0.99498,0.93751,0.9973,0.99501,0.99497,0.70959,0.37261,0.42546,0.27384,0.77736,0.0017228,0.0017228,0.0017228
16,1071.55,0.47897,0.49864,0.29764,0.79419,0.99763,0.99606,0.99493,0.93643,0.99829,0.99475,0.99492,0.75037,0.38783,0.42408,0.28265,0.78072,0.001703,0.001703,0.001703
17,1130.83,0.48573,0.51597,0.29991,0.79428,0.99778,0.99547,0.99496,0.93928,0.99776,0.99501,0.99495,0.75032,0.37808,0.40998,0.27329,0.77968,0.0016832,0.0016832,0.0016832
18,1190.15,0.46814,0.4799,0.29019,0.79349,0.99842,0.99535,0.99498,0.94184,0.99806,0.99494,0.99497,0.72653,0.37512,0.43369,0.26952,0.7773,0.0016634,0.0016634,0.0016634
19,1249.16,0.44033,0.4789,0.28187,0.7916,0.99835,0.99508,0.99494,0.94732,0.99796,0.99468,0.99492,0.72468,0.35111,0.41421,0.25597,0.77734,0.0016436,0.0016436,0.0016436
20,1308.26,0.44794,0.49202,0.28041,0.79137,0.99809,0.99567,0.99497,0.94327,0.9977,0.99527,0.99497,0.73642,0.36794,0.42076,0.27035,0.77703,0.0016238,0.0016238,0.0016238
21,1366.44,0.44637,0.48129,0.27817,0.79002,0.99829,0.99559,0.99496,0.94623,0.99823,0.99521,0.99495,0.72925,0.35413,0.41871,0.25278,0.77614,0.001604,0.001604,0.001604
22,1425.64,0.44914,0.47701,0.27702,0.79132,0.9986,0.9954,0.99498,0.94693,0.99827,0.99507,0.99497,0.73654,0.35518,0.42574,0.25553,0.77724,0.0015842,0.0015842,0.0015842
23,1484.57,0.44531,0.46409,0.27974,0.79001,0.99855,0.99576,0.99498,0.94916,0.99868,0.9948,0.99497,0.72217,0.35491,0.41865,0.26499,0.77586,0.0015644,0.0015644,0.0015644
24,1543.37,0.42413,0.46219,0.27042,0.78863,0.99868,0.99558,0.99499,0.95053,0.99829,0.99519,0.99499,0.73217,0.34466,0.40469,0.25032,0.77465,0.0015446,0.0015446,0.0015446
25,1601.94,0.42683,0.4687,0.26996,0.78859,0.99895,0.99515,0.99498,0.93802,0.99862,0.99475,0.99497,0.74209,0.37533,0.40336,0.25415,0.77614,0.0015248,0.0015248,0.0015248
26,1660.14,0.42551,0.46611,0.26872,0.78857,0.99862,0.99537,0.99498,0.94084,0.99816,0.99489,0.99498,0.72726,0.36713,0.41449,0.25536,0.77612,0.001505,0.001505,0.001505
27,1719.07,0.42719,0.45467,0.26885,0.78862,0.9987,0.99573,0.99497,0.94535,0.99833,0.99534,0.99496,0.72281,0.35558,0.45156,0.24661,0.77527,0.0014852,0.0014852,0.0014852
28,1777.64,0.4308,0.47384,0.26501,0.78857,0.99888,0.99563,0.99499,0.95284,0.99868,0.99536,0.99497,0.74313,0.33213,0.39793,0.23928,0.77428,0.0014654,0.0014654,0.0014654
29,1836.47,0.42217,0.45897,0.26059,0.7873,0.99887,0.99547,0.99499,0.93901,0.9986,0.99501,0.99498,0.71986,0.38672,0.42744,0.25159,0.77671,0.0014456,0.0014456,0.0014456
30,1895.04,0.41622,0.44374,0.26249,0.78629,0.99875,0.99589,0.99497,0.95463,0.99829,0.99526,0.99496,0.73898,0.32189,0.38792,0.23423,0.77266,0.0014258,0.0014258,0.0014258
31,1953.37,0.41734,0.44997,0.25817,0.7867,0.99855,0.99552,0.99499,0.95723,0.99829,0.99521,0.99498,0.74244,0.32096,0.39205,0.2331,0.77302,0.001406,0.001406,0.001406
32,2012.97,0.40299,0.43824,0.25195,0.78618,0.99837,0.9958,0.99499,0.94812,0.99817,0.9956,0.99498,0.75598,0.34864,0.39597,0.23916,0.77388,0.0013862,0.0013862,0.0013862
33,2071.94,0.41488,0.43425,0.25368,0.78622,0.99881,0.99577,0.99499,0.95366,0.99849,0.99544,0.99498,0.7489,0.32953,0.38583,0.23144,0.77282,0.0013664,0.0013664,0.0013664
34,2130.46,0.39999,0.42891,0.24759,0.78583,0.99896,0.9956,0.99499,0.95974,0.99842,0.99528,0.99498,0.73347,0.31431,0.3839,0.22411,0.77233,0.0013466,0.0013466,0.0013466
35,2190.33,0.40246,0.43291,0.24795,0.786,0.99927,0.99526,0.99499,0.95525,0.99901,0.995,0.99497,0.74596,0.33626,0.39837,0.23012,0.77333,0.0013268,0.0013268,0.0013268
36,2249.97,0.3977,0.43671,0.24589,0.78478,0.99815,0.99619,0.99499,0.94787,0.99875,0.99461,0.99498,0.71662,0.34762,0.40393,0.23259,0.773,0.001307,0.001307,0.001307
37,2308.64,0.40159,0.43195,0.24783,0.78389,0.99905,0.9954,0.99499,0.95878,0.99891,0.99494,0.99499,0.72836,0.31313,0.38448,0.22276,0.77145,0.0012872,0.0012872,0.0012872
38,2366.87,0.39643,0.42731,0.24466,0.78419,0.99914,0.99531,0.99499,0.94944,0.99888,0.99504,0.99499,0.71576,0.34881,0.39166,0.23116,0.77408,0.0012674,0.0012674,0.0012674
39,2425.76,0.39362,0.42837,0.24261,0.78405,0.99927,0.99536,0.99499,0.95704,0.99895,0.99503,0.99498,0.73808,0.31961,0.37879,0.22145,0.77168,0.0012476,0.0012476,0.0012476
40,2483.97,0.38432,0.42386,0.23721,0.78346,0.99899,0.99553,0.99499,0.94833,0.99873,0.99527,0.99498,0.73152,0.35255,0.42444,0.23204,0.77231,0.0012278,0.0012278,0.0012278
41,2543.57,0.39003,0.42519,0.23944,0.78402,0.99868,0.99561,0.99499,0.95383,0.99829,0.99496,0.99498,0.74147,0.32884,0.39532,0.22447,0.77257,0.001208,0.001208,0.001208
42,2601.98,0.38125,0.42592,0.23554,0.78336,0.99924,0.99527,0.99499,0.96063,0.99895,0.99492,0.99499,0.73405,0.30229,0.38363,0.21317,0.77072,0.0011882,0.0011882,0.0011882
43,2660.55,0.4047,0.44282,0.24755,0.78426,0.99921,0.99527,0.99499,0.96043,0.99921,0.99478,0.99499,0.74035,0.31184,0.39307,0.22467,0.77119,0.0011684,0.0011684,0.0011684
44,2719.08,0.38927,0.42554,0.24284,0.78345,0.99929,0.9954,0.99499,0.95574,0.99929,0.99468,0.99498,0.74263,0.33624,0.38638,0.23808,0.7716,0.0011486,0.0011486,0.0011486
45,2777.95,0.39212,0.42683,0.24347,0.78389,0.99888,0.9957,0.99499,0.96049,0.99857,0.99534,0.99499,0.74595,0.30991,0.38379,0.21739,0.77043,0.0011288,0.0011288,0.0011288
46,2836.26,0.37653,0.41758,0.23447,0.78334,0.99913,0.99534,0.99499,0.95873,0.9987,0.99488,0.99499,0.73846,0.31591,0.38082,0.21772,0.771,0.001109,0.001109,0.001109
47,2895.37,0.36989,0.41424,0.2311,0.78244,0.99925,0.99547,0.99499,0.96327,0.99908,0.99514,0.99499,0.73888,0.30416,0.37969,0.21708,0.77015,0.0010892,0.0010892,0.0010892
48,2954.14,0.38144,0.41492,0.23604,0.78236,0.99893,0.99573,0.99499,0.96062,0.99877,0.99527,0.99498,0.73749,0.31367,0.38211,0.22098,0.77086,0.0010694,0.0010694,0.0010694
49,3012.96,0.38229,0.41399,0.23574,0.78308,0.99892,0.9956,0.99499,0.96032,0.99865,0.99534,0.99498,0.7518,0.3086,0.37666,0.21342,0.77048,0.0010496,0.0010496,0.0010496
50,3072.07,0.37099,0.40779,0.22975,0.78191,0.99923,0.99534,0.99499,0.96317,0.9989,0.99501,0.99499,0.7411,0.29929,0.37343,0.21004,0.76966,0.0010298,0.0010298,0.0010298
51,3131.74,0.37311,0.41097,0.22985,0.78225,0.99923,0.99547,0.99499,0.95987,0.9989,0.99514,0.99498,0.74694,0.30692,0.37825,0.21248,0.76989,0.00101,0.00101,0.00101
52,3190.08,0.37115,0.41078,0.23041,0.78153,0.99921,0.99549,0.99499,0.96256,0.99895,0.99523,0.99498,0.74265,0.29925,0.37788,0.20841,0.76942,0.0009902,0.0009902,0.0009902
53,3248.47,0.36139,0.40561,0.2254,0.78132,0.99893,0.99534,0.99498,0.9651,0.9986,0.99501,0.99498,0.74531,0.29585,0.37939,0.20644,0.76971,0.0009704,0.0009704,0.0009704
54,3307.26,0.36249,0.40796,0.22377,0.78092,0.99841,0.99593,0.99499,0.96333,0.99834,0.99553,0.99499,0.74341,0.29707,0.37938,0.20552,0.76962,0.0009506,0.0009506,0.0009506
55,3365.96,0.35814,0.40194,0.22463,0.78087,0.99903,0.99553,0.99499,0.96388,0.99881,0.99505,0.99499,0.74067,0.29657,0.37591,0.20888,0.76919,0.0009308,0.0009308,0.0009308
56,3425.27,0.36803,0.40467,0.22869,0.78132,0.99861,0.99586,0.99499,0.96205,0.99899,0.99501,0.99498,0.73968,0.2998,0.37675,0.21068,0.76941,0.000911,0.000911,0.000911
57,3485.04,0.36973,0.41058,0.227,0.7812,0.99908,0.9958,0.99499,0.96344,0.99868,0.99537,0.99498,0.74318,0.29475,0.37802,0.20461,0.76932,0.0008912,0.0008912,0.0008912
58,3543.77,0.36414,0.40964,0.22613,0.78096,0.99894,0.99553,0.99498,0.96344,0.99888,0.99505,0.99498,0.74572,0.29732,0.38359,0.2055,0.76912,0.0008714,0.0008714,0.0008714
59,3602.35,0.36148,0.40329,0.22375,0.78125,0.99914,0.99524,0.99499,0.95785,0.99901,0.99494,0.99499,0.73663,0.31564,0.39785,0.20971,0.77014,0.0008516,0.0008516,0.0008516
60,3661.04,0.35892,0.40075,0.22028,0.7814,0.999,0.99553,0.99498,0.96307,0.99883,0.99521,0.99498,0.73741,0.29777,0.37555,0.20182,0.76917,0.0008318,0.0008318,0.0008318
61,3720.07,0.36975,0.40345,0.22354,0.78094,0.99905,0.99567,0.99499,0.95814,0.99895,0.99544,0.99497,0.748,0.31282,0.38262,0.20926,0.76993,0.000812,0.000812,0.000812
62,3779.04,0.3583,0.39453,0.22029,0.77991,0.99903,0.99573,0.99499,0.96453,0.99868,0.99528,0.99498,0.74821,0.2911,0.36433,0.20054,0.76866,0.0007922,0.0007922,0.0007922
63,3837.94,0.35864,0.39498,0.21874,0.78051,0.99934,0.99553,0.99499,0.96398,0.99906,0.99521,0.99496,0.7475,0.2902,0.36668,0.20091,0.76858,0.0007724,0.0007724,0.0007724
64,3896.74,0.35579,0.39562,0.21846,0.77948,0.99931,0.99514,0.99499,0.96668,0.99918,0.99501,0.99499,0.74494,0.28777,0.36695,0.19822,0.76861,0.0007526,0.0007526,0.0007526
65,3955.37,0.3545,0.3974,0.21713,0.78005,0.99904,0.99553,0.99499,0.96586,0.99908,0.99514,0.99498,0.74126,0.28626,0.36554,0.19661,0.76845,0.0007328,0.0007328,0.0007328
66,4014.35,0.35313,0.39313,0.21514,0.78,0.99938,0.99547,0.99499,0.96499,0.99914,0.99521,0.99499,0.74038,0.29279,0.36421,0.19747,0.76894,0.000713,0.000713,0.000713
67,4073.04,0.35603,0.40285,0.21582,0.7799,0.99901,0.99573,0.99499,0.96405,0.99914,0.995,0.99498,0.73936,0.29059,0.37507,0.19902,0.76833,0.0006932,0.0006932,0.0006932
68,4131.44,0.35866,0.39808,0.21708,0.7812,0.99928,0.99565,0.99499,0.9664,0.99901,0.99539,0.99499,0.74406,0.2856,0.36786,0.19624,0.76855,0.0006734,0.0006734,0.0006734
69,4191.16,0.34699,0.38937,0.21259,0.7803,0.99938,0.9954,0.99499,0.96354,0.99921,0.99511,0.99499,0.73846,0.29303,0.36659,0.19775,0.76832,0.0006536,0.0006536,0.0006536
